agents,solveIndModel,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil,solveNN,solveConicGibbsGreedyDynamic
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.25)]",0.0585937499999999,0.125,0.125,0.125,0.125,0.125,0.1875,0.125,0.125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25)]",0.0859375,0.1875,0.1875,0.1875,0.1875,0.1875,0.25,0.125,0.1875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.25)]",0.1132812499999999,0.25,0.25,0.25,0.25,0.25,0.3125,0.1875,0.25
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.5)]",0.1171875,0.1875,0.1875,0.1875,0.1875,0.1875,0.25,0.125,0.1875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.5)]",0.171875,0.3125,0.3125,0.3125,0.3125,0.3125,0.375,0.25,0.3125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.5)]",0.2265625,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.375,0.4375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.25, 0.75)]",0.17578125,0.25,0.25,0.25,0.25,0.25,0.3125,0.1875,0.25
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.75)]",0.2578125,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.375,0.4375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.75, 0.75)]",0.33984375,0.625,0.625,0.625,0.625,0.625,0.6875,0.5625,0.625
"[(0, 0.25, 0.25), (1, 0.5, 0.25), (2, 0.5, 0.25)]",0.1015624999999999,0.25,0.25,0.25,0.25,0.25,0.3125,0.125,0.25
"[(0, 0.25, 0.25), (1, 0.5, 0.25), (2, 0.75, 0.25)]",0.12890625,0.3125,0.3125,0.3125,0.3125,0.3125,0.375,0.3125,0.3125
"[(0, 0.25, 0.25), (1, 0.5, 0.25), (2, 0.25, 0.5)]",0.1484375,0.25,0.25,0.25,0.25,0.25,0.3125,0.25,0.25
"[(0, 0.25, 0.25), (1, 0.5, 0.25), (2, 0.5, 0.5)]",0.203125,0.375,0.375,0.375,0.375,0.375,0.4375,0.375,0.375
"[(0, 0.25, 0.25), (1, 0.5, 0.25), (2, 0.75, 0.5)]",0.2578125,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5
"[(0, 0.25, 0.25), (1, 0.5, 0.25), (2, 0.25, 0.75)]",0.22265625,0.3125,0.3125,0.3125,0.3125,0.3125,0.375,0.3125,0.3125
"[(0, 0.25, 0.25), (1, 0.5, 0.25), (2, 0.5, 0.75)]",0.3046875,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5
"[(0, 0.25, 0.25), (1, 0.5, 0.25), (2, 0.75, 0.75)]",0.38671875,0.6875,0.6875,0.6875,0.6875,0.6875,0.75,0.6875,0.6875
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.25)]",0.14453125,0.375,0.375,0.375,0.375,0.375,0.4375,0.375,0.375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5)]",0.1796875,0.3125,0.3125,0.3125,0.3125,0.3125,0.375,0.3125,0.3125
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5)]",0.234375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.4375,0.4375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5)]",0.2890625,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.5625,0.5625
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75)]",0.26953125,0.375,0.375,0.375,0.375,0.375,0.4375,0.375,0.375
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75)]",0.3515625,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.5625,0.5625
"[(0, 0.25, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.75)]",0.43359375,0.75,0.75,0.75,0.75,0.75,0.8125,0.75,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5)]",0.171875,0.25,0.25,0.25,0.25,0.25,0.3125,0.25,0.25
